id_lexeme	lexeme	ori_lexeme	postag	ori_postag
74248	ablonnaise	dimoc	Adj	dimoc
74249	ablonnaise	glaff	Nf	glaff
74250	abloquer	demonette	V	demonette
74251	abloquir	glaff	V	glaff
74252	abluant	glaff	Adj	glaff
74253	abluer	demonette	V	demonette
74254	ablutien	glaff	Adj	glaff
74255	ablutien	glaff	Nm	glaff
74256	ablutienne	glaff	Nf	glaff
74257	ablutiienne	dimoc	Adj	dimoc
74258	ablutiienne	dimoc	Nf	dimoc
74259	ablution	demonette	Nf	demonette
74260	ablutionner	demonette	V	demonette
74261	ablutophobie	glaff	Nf	glaff
74262	ablégat	glaff	Nm	glaff
74263	ablégation	glaff	Nf	glaff
74264	abléphare	glaff	Nm	glaff
74265	ablépharie	glaff	Nf	glaff
74266	ablépharon	glaff	Nm	glaff
74267	abm	glaff	Nm	glaff
74268	abnégateur	glaff	Nm	glaff
74269	abnégation	glaff	Nf	glaff
74270	abnéguer	glaff	V	glaff
74271	abnégué	glaff	Adj	glaff
74272	abo	glaff	Nm	glaff
74273	abobo	glaff	Nm	glaff
74274	aboi	glaff	Nm	glaff
74275	aboiement	demonette	Nm	demonette
74276	aboiteau	glaff	Nm	glaff
74277	aboituser	glaff	V	glaff
74278	aboivrement	glaff	Nm	glaff
74279	aboler	glaff	V	glaff
74280	aboli	denom	Adj	denom
74281	abolinois	dimoc	Adj	dimoc
74282	abolinois	dimoc	Nm	dimoc
74283	abolinoise	dimoc	Adj	dimoc
74284	abolinoise	dimoc	Nf	dimoc
74285	abolir	demonette	V	demonette
74286	abolissable	glaff	Adj	glaff
74287	abolissement	demonette	Nm	demonette
74288	abolisseur	glaff	Nm	glaff
74289	abolitif	demonette	Adj	demonette
74290	abolition	demonette	Nf	demonette
74291	abolitionisme	glaff	Nm	glaff
74292	abolitioniste	glaff	Adj	glaff
74293	abolitioniste	glaff	Nf	glaff
74294	abolitioniste	glaff	Nm	glaff
74295	abolitionnisme	glaff	Nm	glaff
74296	abolitionniste	glaff	Adj	glaff
74297	abolitionniste	glaff	Nf	glaff
74298	abolitionniste	glaff	Nm	glaff
74299	abolle	glaff	Nm	glaff
74300	aboluir	glaff	V	glaff
74301	abomasum	glaff	Nm	glaff
74302	abominable	glaff	Adj	glaff
74303	abomination	demonette	Nf	demonette
74304	abominer	demonette	V	demonette
74305	aboncourtois	glaff	Adj	glaff
74306	aboncourtois	glaff	Nm	glaff
74307	aboncourtoise	dimoc	Adj	dimoc
74308	aboncourtoise	glaff	Nf	glaff
74309	abondable	glaff	Adj	glaff
74310	abondance	glaff	Nf	glaff
74311	abondance	glaff	Nm	glaff
74312	abondanciel	denom	Adj	denom
74313	abondancien	glaff	Adj	glaff
74314	abondancien	glaff	Nm	glaff
74315	abondancienne	glaff	Nf	glaff
74316	abondancier	glaff	Adj	glaff
74317	abondancier	glaff	Nm	glaff
74318	abondanciienne	dimoc	Adj	dimoc
74319	abondanciienne	dimoc	Nf	dimoc
74320	abondancisme	dimoc	Nm	dimoc
74321	abondanciste	glaff	Adj	glaff
74322	abondanciste	dimoc	Nf	dimoc
74323	abondanciste	dimoc	Nm	dimoc
74324	abondancière	dimoc	Adj	dimoc
74325	abondancière	glaff	Nf	glaff
74326	abondant	glaff	Adj	glaff
74327	abondantais	glaff	Adj	glaff
74328	abondantais	glaff	Nm	glaff
74329	abondantaise	dimoc	Adj	dimoc
74330	abondantaise	glaff	Nf	glaff
74331	abondante	dimoc	Adj	dimoc
74332	abondantiel	denom	Adj	denom
74333	abondantissime	glaff	Adj	glaff
74334	abondement	demonette	Nm	demonette
74335	abonder	demonette	V	demonette
74336	abondeur	glaff	Adj	glaff
74337	abondeur	glaff	Nm	glaff
74338	aboner	glaff	V	glaff
74339	abonnage	demonette	Nm	demonette
74340	abonnataire	dimoc	Adj	dimoc
74341	abonnataire	glaff	Nm	glaff
74342	abonnement	demonette	Nm	demonette
74343	abonner	demonette	V	demonette
74344	abonneur	lexeur	Nm	lexeur
74345	abonnir	demonette	V	demonette
74346	abonnissement	demonette	Nm	demonette
74347	abonné	glaff	Adj	glaff
74348	abonné	glaff	Nm	glaff
74349	abonnée	glaff	Nf	glaff
74350	abonnées	glawi	Nfp	glawi
74351	aboral	glaff	Adj	glaff
74352	abord	glaff	Nm	glaff
74353	abordabiliser	glaff	V	glaff
74354	abordabilité	glaff	Nf	glaff
74355	abordable	glaff	Adj	glaff
74356	abordage	demonette	Nm	demonette
74357	abordement	demonette	Nm	demonette
74358	aborder	demonette	V	demonette
74359	abordeur	demonette	Nm	demonette
74360	abordé	denom	Adj	denom
74361	abori	glaff	Nf	glaff
74362	abori	glaff	Nm	glaff
74363	aboriginalité	glaff	Nf	glaff
74364	aborigène	glaff	Adj	glaff
74365	aborigène	glaff	Nf	glaff
74366	aborigène	glaff	Nm	glaff
74367	aborigénat	dimoc	Nm	dimoc
74368	aborigénité	mordan	Nf	mordan
74369	abornage	demonette	Nm	demonette
74370	abornement	demonette	Nm	demonette
74371	aborner	demonette	V	demonette
74372	abortif	demonette	Adj	demonette
74373	abortion	demonette	Nf	demonette
74374	abosien	glaff	Adj	glaff
74375	abosien	glaff	Nm	glaff
74376	abosienne	glaff	Nf	glaff
74377	abosiienne	dimoc	Adj	dimoc
74378	abosiienne	dimoc	Nf	dimoc
74379	abot	glaff	Nm	glaff
74380	aboteau	glaff	Nm	glaff
74381	aboter	glaff	V	glaff
74382	aboteusir	glaff	V	glaff
74383	abouca	glaff	Nm	glaff
74384	abouchage	demonette	Nm	demonette
74385	abouchement	demonette	Nm	demonette
74386	aboucher	demonette	V	demonette
74387	aboucheur	demonette	Nm	demonette
74388	aboucler	glaff	V	glaff
74389	aboucouchou	glaff	Nm	glaff
74390	aboudabien	glaff	Adj	glaff
74391	aboudabien	glaff	Nm	glaff
74392	aboudabienne	glaff	Nm	glaff
74393	aboudabiienne	dimoc	Adj	dimoc
74394	aboudabiienne	dimoc	Nf	dimoc
74395	aboudhabien	glaff	Adj	glaff
74396	aboudhabien	glaff	Nm	glaff
74397	aboudhabienne	glaff	Nf	glaff
74398	aboudhabiienne	dimoc	Adj	dimoc
74399	aboudhabiienne	dimoc	Nf	dimoc
74400	abouement	glaff	Nm	glaff
74401	abougri	glaff	Adj	glaff
74402	abougrir	demonette	V	demonette
74403	abougrissement	demonette	Nm	demonette
74404	aboukarne	glaff	Nm	glaff
74405	aboukorn	glaff	Nm	glaff
74406	aboulement	glaff	Nm	glaff
74407	abouler	glaff	V	glaff
74408	aboulie	glaff	Nf	glaff
74409	aboulique	glaff	Adj	glaff
74410	aboulir	glaff	V	glaff
74411	abounas	glawi	Nmp	glawi
74412	abouner	glaff	V	glaff
74413	aboung	glaff	Nm	glaff
74414	abouquement	glaff	Nm	glaff
74415	abouquer	glaff	V	glaff
74416	abourner	glaff	V	glaff
74417	abouré	glaff	Nm	glaff
74418	abouser	glaff	V	glaff
74419	about	glaff	Nm	glaff
74420	aboutage	demonette	Nm	demonette
74421	aboutement	demonette	Nm	demonette
74422	abouter	demonette	V	demonette
74423	abouti	glaff	Adj	glaff
74424	aboutir	demonette	V	demonette
74425	aboutissant	glaff	Adj	glaff
74426	aboutissant	glaff	Nm	glaff
74427	aboutissement	demonette	Nm	demonette
74428	aboutitude	mordan	Nf	mordan
74429	aboutonner	glaff	V	glaff
74430	aboutouner	glaff	V	glaff
74431	abouté	glaff	Adj	glaff
74432	aboyable	glaff	Adj	glaff
74433	aboyant	glaff	Adj	glaff
74434	aboyer	demonette	V	demonette
74435	aboyeur	denom	Adj	denom
74436	aboyeur	demonette	Nm	demonette
74437	aboyeuse	demonette	Nf	demonette
74438	aboyeuses	glawi	Nfp	glawi
74439	aboîment	glaff	Nm	glaff
74440	aboûment	glaff	Nm	glaff
74441	abracadabra	glaff	Nm	glaff
74442	abracadabrant	glaff	Adj	glaff
74443	abracadabrante	dimoc	Adj	dimoc
74444	abracadabranterie	mordan	Nf	mordan
74445	abracadabrantesque	glaff	Adj	glaff
74446	abracadabrantesquerie	mordan	Nf	mordan
