laissa	VER:simp	laisser
tomber	VER:infi	tomber
coupe	NOM	coupe
conta	VER:simp	conter
histoire	NOM	histoire
nommait	VER:impf	nommer
Spendius	VER:pper	<unknown>
Carthaginois	ADJ	carthaginois
pris	VER:pper	prendre
bataille	NOM	bataille
Egineuses	NOM	<unknown>
parlant	VER:ppre	parler
grec	ADJ	grec
ligure	NOM	ligure
punique	ADJ	punique
remercia	VER:simp	remercier
encore	ADV	encore
fois	NOM	fois
Mercenaires	NOM	mercenaire
baisait	VER:impf	baiser
mains	NOM	main
enfin	ADV	enfin
félicita	VER:simp	féliciter
banquet	NOM	banquet
tout	ADV	tout
étonnant	ADJ	étonnant
apercevoir	VER:infi	apercevoir
coupes	NOM	coupe
Légion	NOM	légion
sacrée	ADJ	sacré
coupes	NOM	coupe
portant	VER:ppre	porter
vigne	NOM	vigne
émeraude	NOM	émeraude
chacune	PRO:IND	chacun
leurs	DET:POS	leur
six	NUM	six
faces	NOM	face
or	NOM	or
appartenaient	VER:impf	appartenir
milice	NOM	milice
exclusivement	ADV	exclusivement
composée	VER:pper	composer
jeunes	ADJ	jeune
patriciens	NOM	patricien
plus	ADV	plus
hauts	ADJ	haut
taille	NOM	taille
privilège	NOM	privilège
presque	ADV	presque
honneur	NOM	honneur
sacerdotal	ADJ	sacerdotal
aussi	ADV	aussi
rien	ADV	rien
trésors	NOM	trésor
République	NOM	république
plus	ADV	plus
convoité	VER:pper	convoiter
Mercenaires	NOM	mercenaire
détestaient	VER:impf	détester
Légion	NOM	légion
cause	NOM	cause
cela	PRO:DEM	cela
vu	VER:pper	voir
risquaient	VER:impf	risquer
vie	NOM	vie
inconcevable	ADJ	inconcevable
plaisir	NOM	plaisir
boire	VER:infi	boire
Donc	ADV	donc
commandèrent	VER:simp	commander
aller	VER:infi	aller
chercher	VER:infi	chercher
coupes	NOM	coupe
Elles	PRO:PER	elle
dépôt	NOM	dépôt
chez	PRP	chez
Syssites	NOM	<unknown>
compagnies	NOM	compagnie
commerçants	NOM	commerçant
mangeaient	VER:impf	manger
commun	ADJ	commun
esclaves	NOM	esclave
revinrent	VER:simp	revenir
cette	PRO:DEM	ce
heure	NOM	heure
tous	PRO:IND	tout
membres	NOM	membre
Syssites	NOM	<unknown>
dormaient	VER:impf	dormir
réveille	VER:pres	réveiller
répondirent	VER:simp	répondre
Mercenaires	NOM	mercenaire
Après	PRP	après
seconde	NUM	second
démarche	NOM	démarche
expliqua	VER:simp	expliquer
elles	PRO:PER	elle
enfermées	VER:pper	enfermer
temple	NOM	temple
ouvre	VER:pres	ouvrir|ouvrer
répliquèrent	VER:simp	répliquer
quand	KON	quand
esclaves	NOM	esclave
tremblant	NOM	tremblant
avoué	VER:pper	avouer
elles	PRO:PER	elle
entre	PRP	entre
mains	NOM	main
général	ADJ	général
Giscon	NOM	<unknown>
écrièrent	VER:simp	écrier
apporte	VER:pres	apporter
